ID	target	implied_statement
738469341012873216	Illegal Immigrants	Illegal Immigrants should be excluded from the country.
833876482531266560	Social Democrats	Social Democrats are weak and effeminate
810477271270195200	Black people	Black people commit more crime
539216726177501185	white folks	white people can't play non-white roles
945106528628961280	Minorities	Minorities should be exterminated.
879439967386193920	Immigrants	Immigrants should die
717817676207431680	Gay people	Gay people are stupid
924709033340276736	white people	White people are mistreated.
891108622650003458	Christians, Jews	Christians and Jews can get away with murder in the southeast
917703525060304897	whites	Whites should be segregated.
842212194708291584	Muslims	Muslims have Satanist values
941105463705313280	Immigrants	Immigrants are scum and must be expelled and thrown in their places of origin
908054926504296320	Immigrants	Immigrants are invasive
664156476785729536	white people	White people are better than other races.
21047246279680000	white people	White people are better than other races.
557189489697632256	Minorities	Minorities are subpar human beings
907567725878288384	Muslims	Muslims should be treated like animals
945073155407835136	Muslim and Black folks	The creed of these people are inferior beings and are making white people lives worst.
842414750478831617	Minorities	Minorities are trying to destroy white culture
793995455340355584	Immigrants	Immigrants are bastards and disgusting
898969231177502720	Immigrants	Immigrants are worthless
918868003919237120	Immigrants	Immigrants have unwanted babies
925902881672196096	immigrants	Immigrants take and don't give back
933034378720174080	black people	Black people are in danger.
297027259968147456	Blacks	Blacks can't self govern themselves
886404506610573313	Jews	Jews use intimidation to get their way.
930254753216335873	immigrants	Immigrants shouldn't come into America.
889469067509104640	white people	White people don't like leftists.
922682357257244672	minorities	minorities are racist
703758289910308865	Whites	Whites are racist
532999429054144512	religious conservatives	religious conservatives are hateful
900386408447266820	white people	White people are terrorists.
850342283211931648	Illegal immigrants	Illegal immigrants are less than citizens.
636650833522790400	white people	White people are heartless.
438423157893259264	Immigrants	Immigrants are overrunning America.
812759787846987648	Muslims	Muslims are ignorant
568569713514532864	White people	White people are decreasing
912817462135148544	white people	White people shouldn't waiver to Jews.
848514854210097152	Muslims	Muslims are violent
905470500025106433	Whites	White people are greater than others.
884087092850167808	Minorities	Minorities are subpar races
891061945486454784	non-whites	Non-whites commit hate crimes.
919743541873491969	immigrants	immigrants are illegal aliens
892529724148375552	immigrants	Immigrants are illegal
361709084484960256	Muslims	Muslims are violent
841897894370258944	Black folks	Black people are inferior to white people
935323977827921920	Immigrants	Immigrants should be deported
900808636292714496	White people	White people are all racists
826822710835740672	White people	White people always have all the power
426170877487505408	Whites	Whites are backwards and ignorant
935174019334262785	Muslims	Muslims are parasites
824688141995020288	Mexicans	Mexicans shift their problems to others
932637341545623552	white people	White people have rights.
924098623465455616	Minorities	Minorities are overrunning the white race.
893284628412411904	Immigrants	Immigrants are lazy
852479278587432960	Muslims	Muslims are hateful
906022139962068992	Rohingyas	Rohingyas are violent aggressors
801486977430388742	non-white people	non-white people want to displace white people
566815654070607874	Muslims	Muslims don't belong in the White House.
831549277973389312	Jews	Jews hate white people.
830266286139535360	white people	White people should be able to take care of themselves.
908719817930280961	Hispanics	Hispanics are taking over America
880890846463238144	Not specified	the group are coward.
845077303948402688	Poor whites	Poor whites are degenerates
189099952922820608	non-whites	Non-whites are racist.
189537653165785088	Blacks	Blacks victimize whites
576833332782100480	black people	Black people are bad for whites.
601946888624013312	Progressives	Progressives are pushing out whites
632713695429312512	white people	White people are dying.
883533414699282432	Immigrants	Immigrants should be deported.
903120901499232257	white people	White people don't have rights.
802860009969352704	Immigrants	Immigrants have no culture
938802264231305216	white males in interracial couples	white males in interracial couples are sexual failures
926991927274364929	Minorities	Minorities are subpar compared to whites.
882707167916294144	Jews	Jews look to undermine the white race.
931959445965356928	No specific group	These people should die
349222884364914688	white people	White people want segregation.
411226322908631040	Minorities	Minorities are subpar human beings
729773469089472512	Jews	Jews want to eliminate white people
683671057618874368	Muslims	Muslims are bad for humanity.
280473534332039168	Black people	Black people are crazy
938755890416676864	immigrants	immigrants are poor and downtrodden
275668561643585537	Black people	Black people are dangerous
889665325737922560	immigrants	immigrants are all hostile invaders
923757873196339200	people of color	People of color want to kill white people.
746076751504236544	sfgfsfgf	ffsgsfgs
905289097723379712	Minorities	Minorities are inferior to the white race
857799768835325952	Muslims	Implying Muslim people are barbarians
614441432816988160	Homosexuals	Homosexuals are abnormal.
925762168141811456	Immigrants	Immigrants should be deported
936725149465874432	Immigrants	Immigrants are dirty
897442179823669250	Black Lives Matter	Black Lives Matter want to kill white people.
853847926413643776	white people	White people are dying out.
862089527841746944	Illegals	Illegals think the law isn't for them.
858798892162396161	Minorities	Minorities advocate for the deaths of whites.
329182635496718336	white women	White women are being raped and killed.
871809853479673728	Immigrants	Immigrants are cockroachs
889296676757876737	queers	Queers aren't people.
896357243205148677	Minorities	Minorities promote white self-hatred.
650670669936496641	Muslims	Muslims are evil
845018630274203648	Minorities	Minorities make unreasonable demands of whites.
831412008348172289	Minorities	Minorities are substandard people
903918291810320384	minorities	Minorities do not behave as normal people.
892593152451858432	white people	White people build countries.
295650298301657088	Minorities	Minorities are destroying white culture
897210747201236992	Whites	Whites are racist.
897322828126670848	Journalists	Journalists hate whites
945821954333921280	Black people	Black people hate white people
615297333723561984	Southerners	Southerners are bigots.
923665848274948096	non-white people	non-white people are oppressors
897991257007337472	Leftists	Leftists use violence to their own ends
745967277552574464	Jewish and Muslim people	Jewish and Muslim people are violent and only with to destroy the world
925918500278886400	immigrants	immigrants are ruining the sexual culture of the country
282563915567726592	white women	White women are being raped and killed.
463340177511809024	Minorities	Minorities prey on whites
486236840660582400	Jews	Jews are prejudiced
904164084114792448	Minorities	Minorities are taking over.
812663040629993472	Not specified	the group should be hanged of a church.
656989493233369088	nazists	Nazis were people who invaded countries.
33029629384065024	black people	black people are dishonest.
659911464963203072	Muslims	Muslims should be deported
506186921337696257	anti-liberals	Anti-liberals are racists.
844071173444976641	White people	White people are not welcome in Africa.
917133683513069568	White supremacists	White supremacists are inhuman.
896593210734247937	Blacks	Blacks are subpar human beings
892651279322816512	white people	White people want government benefits.
841774695091380224	Progressives	Progressives advocate for white self-hatred.
747258262374932481	Jews	Jews are cunning and scheming.
426027151121719296	Whites	Whites are bigoted.
288435973946228736	Black people	Black people abuse the system
384109618655657984	white people	White people are criminals.
807322228056555520	Minorities	Minorities are beneath whites
837144109420843018	Jews	Jews manipulate whites
900811859401601024	Blacks	Blacks are bigoted.
868967292297773057	non-white people	non-white people are inferior
701587727062589440	Muslims	Muslims are not civilized
774321078776672256	Conservatives	Conservatives are bigoted and prejudiced.
887744698277781504	Liberal	liberals correct the speech of others
945870054956072960	Progressives	Progressives falsely accuse whites.
660036733170417664	Muslims	Muslims are terrorist and should be kept out of places.
934557325259616261	Progressives	Progressives want to wipe out the white race
626344615348572160	white people	White people are superior.
897196423342690304	white people	White people are rich.
930227946115227649	Minorities	Minorities accuse whites falsely
706900465586274304	Blacks	Blacks destroy their own communities
799265200511848448	non-white people	non-white people are racist
381863647049302016	Muslims	Muslims are dangerous
531578068692111361	Immigrants	Immigrants are given the right to vote
691311744082259968	Immigrants	Immigrants should be deported
901199735696093185	Minorities	Minorities are lower than the white race.
507931480228913152	Biracials	Biracials blame others for their problems.
618900698923601920	Muslims	Muslims are violent.
686658034689523713	non-whites	Non-whites are rapists.
624542202325172224	Black folks	Black people are monkeys
925759501273370624	white people	White people are always complaining about Jews.
672862921764941824	Immigrants	Immigrants are leeches
914178483135315968	white women	white women hate blacks
663073473682677760	Immigrants	Immigrants are rapists
768907938505318402	non-white people	non-white people are dangerous
850772428582252545	Minorities	Minorities are inferior
904525102993244160	Black people	Black people are violent
713589409325518848	Black people	Black people are violent and hate white people
627718917415391232	Americans	Americans are racists
459336965683286016	Muslims	Islam religion makes monsters
884755238195834880	black people	black people are angry and violent
895313665498398720	immigrants	Immigrants are taking American jobs.
GAB_14142	Jews	Hate Jews
905507474022600704	immigrants	Immigrants don't belong in the country.
578327775947280384	Illegal people	Illegal people shouldn't get benefits.
807335827030376448	white people	White people should stick together.
898633337694068736	Republicans	Republicans are drug abusers
284843499948490752	Black people	Black people are unaccomplished
845230830196867073	Jewish people	Jewish people are hated by the media
898649423638437888	Jews	Jews are substandard people
903663795003940865	immigrants	Immigrants shouldn't be in the country.
877286552531083264	Immigrants	Immigrants are useless
734397262495944704	IMMIGRANTS	IMMIGRANTS ARE DIRTY AND OVERALL BAD
681935266542694402	Journalists	Journalists promote child rape
857317495979593730	Minorities	Minorities are at war with whites.
GAB_13130	Indian women	Indian women are dirty
689261121518178304	non-white people	non-white people are unimportant
928667128823271425	Minorities	Minorities are out to destroy the white race.
431516840695566336	Minorities	Minorities are racists towards whites.
892587790440873985	non-white people	non-white people are inferior
916479933475631105	Whites	Whites are stupid
853506341318647808	Minorities	Minorities are inferior
904317924281802752	Asian people	Asian people want to eliminate white people
904002283297497089	Minorities	Minorities are coddled
548943731827552256	Blacks	Blacks target whites for violence
782254077400842240	Blacks	Blacks want special privileges.
912483921329311746	Blacks	Blacks are dumb
782616055495598080	Immigrants	Immigrants are savages
701624385631813632	black lives matter	they called police pigs
638126997277794304	black activists	Black activists want to kill white people.
754667502769152000	Jews	Jews are to blame for anti-semitism.
837273651804319744	Jews	Jews don't like Christians.
634839892296617984	Blacks	Blacks are incompetent
947503059185406080	Mexican	Mexican should be kept out of the USA.
895911417433341952	Blacks	Blacks are primitive
906625453573771265	confederates	pro confederacy
900071591652065281	Conservatives	Conservatives are dishonest
931212920171704320	immigrants	immigrants should be deported and are used as a votebank
899309168552800256	blacks	Blacks cause trouble with white people.
293580107300343808	Jewish people	Jewish people consider themselves better than white people despite being white
792430191356350465	non-whites	Non-whites are criminals.
106382275968634880	Liberals	Liberals are ignorant
898574370418946048	white people	White people have no privileges.
938107527639830529	white people	This country is for white people.
749830058617876480	white people	white people are violent
829870127093006337	Jews	Jews are inferior.
278152645661831168	Immigrants	Immigrants are a threat
936135825296936960	Minorities	Minorities are subpar
799042224700825601	Democrates	Democrats want Muslims to defeat Christians
775846417143398400	Immigrants	Immigrants be kept outside U.S
899035366501609472	Antifa	Antifa is hateful.
287683813386104835	Blacks	Blacks are naturally inferior
895764032518598656	alt-right	alt-right has southern support
916293247303118720	Liberals	Liberals are extreme left and are dumb
895338528850268160	Democrats	Democrats are corrupted criminals.
671712966656454657	Jewish people	Jewish people control all the money.
276558606256717824	Progressives	Progressives are manipulative
515710681669070848	immigrants	Immigrants shouldn't be allowed into the country.
665613832149204992	Arabian Muslims	Arabian Muslims are bad.
824603060722892800	Conservatives	Conservatives are backwards
486237476768731137	non-white people	non-white people are invaders
747435293574209408	Religious people.	Religious will take your money.
284844291761766401	black people	Black people can't survive without white people.
669630922468294656	Immigrants	Immigrants are invasive.
894615410422800384	Minorities	Minorities are driving out whites
827617955471093764	Muslims	Muslims hate non-Muslims
389725798112182272	Minorities	Minorities are hypocritical bigots.
899053962011299840	immigrants	immigrants don't deserve the ability to drive or perform basic tasks, let alone stay in the counrty
828404449555124224	Liberals	Liberals want to censor others.
899162672981303297	Whites	White people should die.
413537349654421504	Black people	Black people are unintelligent
867053256807239681	white people	White people like Confederate history.
664739603677597696	Jews	Jews are stupid
862007987283652613	white people	White people do a lot for the country.
717466086753439744	Feminists	Feminists are manipulative and cunning.
842554891730149248	native american	native american dont deserve more because they were the first here.
586797591058329601	Blacks	Blacks are vicious criminals
851437408273014784	Progressives	Progressives desire the destruction of whites.
939500035074592769	white women	White women have less rights than white men.
511290030464065536	Muslims	Muslims preach hatred
779389117574578176	white people	White people are dying out.
925703407700184960	Immigrants	Immigrants should be deported
404019616466206720	Black people	Black people are violent rapists
834940383301816321	People of color	People of color are inferior to white people and haven't accomplished as much
847174210850078720	Foreigners	Foreigners are substandard
935510624603459584	Illegal immigrants	Illegal immigrants take economically and don't give anything
840267635539492864	People in the tech field	People in tech are white or Asian
388287791630516160	Not specified	the group should be evicted out of their houses.
565928125800800256	Immigrants	Immigrants are weak
298170686109802496	Black People	Black people are lazy and should be slave again.
455333965918781440	Minorities	Minorities are subhuman
880476415405281280	White people	White people are superior to other races
943489122114646016	IMMIGRANTS	IMMIGRANTS SHOULD BE DEPORTED
838914779716730880	Illegal immigrants	Illegal immigrants are from the third world
348203055042420736	Muslims	Muslims are violent
924693133627080704	Muslims	Muslims infiltrate societies
471443472709611520	Whites	Whites are racist
873933055722958849	Muslims	Muslims destroy other religious people
903345539407851520	working class white people	Working class white people are racist.
896457952252579840	Liberals	Liberals want Muslims banned
607626988791013376	Muslims	Muslims don't belong in the White House.
911008131332763648	Minorities	Minorities hate whites
867145915961925633	Minorities	Minorities persecute blacks
713813375034257409	Muslims	Muslims hate hindus.
823719861893271552	Whites	Whites are racist
626449024074301440	White genocide	White genocide is happening
872515714447441920	Female politicians	Female politicians are crooked
917452801533534208	Immigrants	Immigrants should be deported
616855212121128960	minorities	minorities are inferior
702326068745736192	Non-whites	Non-whites rape whites
858483073473810433	white people	White people are violent.
902345379852804096	Leftists	Leftists are thieves
838895280149921920	Immigrants	Immigrants are bad and must be chained
942908421824794624	Muslims	Muslims are subversive
839676930647433216	jew	Jews are responsible for everything
565678489211523073	Muslims	Muslims are peaceful.
877084723310346240	Whites	Whites are incompetent
801152173614600192	white people	White people are dying out.
907698014806069120	Minorities	Minorities groups fighting for equal rights are animals.
871546268660752385	Non-whites	Non-whites don't belong in white countries.
892086899212464128	Black people	Black people are violent
671733419055800321	feminists	Feminists don't care about white women.
920851284843937792	Muslims	Muslims are coddled
GAB_14233	Immigrants	Immigrants are coming here illegally
918206143058599936	Immigrants	Immigrants are unnatural
611784619092873220	Non-white immigrants	Non-white immigrants are not wanted in Britain
285547102170394624	Black people	Black people destroy their homes and the homes of those around them
942777318413668354	Twitter	Twitter hates white people.
GAB_12310	Muslims	Muslims are terrorist.
845624780531232640	transgeners	transgeners are filth and strange
698147759615045633	Muslims	Muslims are violent.
930490769449746432	Immigrants	Immigrants are a threat so they must stay in their homeland and solve their own problems
930239634185052160	Immigrants	Immigrants are leeches
912292701680263169	Jewish people	Jewish people don't like whites.
787089898930974720	Whites	Whites victimize others.
763128594390327296	Refugees	Refugees sponge off others.
935624354712424448	Blacks	Blacks look to portray whites as evil.
844294169912782720	Black folks	Black people are inferior to white people
906389189595299840	Minorities	Minorities despise whites
827218719709360128	Muslims	Muslims are building an army to implement Islam in the US
930143684334583808	non-whites	Non-whites want to live in white neighborhoods.
280474338015203264	Blacks	"America needs to ""control"" the black population"
656118403191721986	Minorities	Minorities are inferior people
797826801263218688	non-white people	non-white people want to displace whites
690074291149340672	INDIANS	INDIANS BREED LIKE INSECTS
946207613041201280	Immigrants	Immigrants take too much welfare
641792603156029440	non-white women	non-white women are inferior
751826496004747264	Hindus	Hindus are demonic.
666630434495819776	black	that blacks are overly emotional
693160492924276737	White people	White people are superior to people of color
877015786317119488	Minorities	Minorities are the subpar races.
909929617116590080	Immigrants	Immigrants should be expelled from U.S
697632848149348352	Arabians	Arabians are racist.
474124544295583744	black people	Black people are more violent and racist than white people
912080769438425088	Minorities	Minorities are second class citizens
573192472190451712	White people	White people are racists who deserve to be killed
544230099198181376	Zionists	Zionists wants multi cultural Europe and jewish Israel
420356161783603200	whites	whites are superior
734081349619851265	Blacks	Blacks are violent.
845841689411510272	Blacks	Blacks are violent towards whites
646196246999400448	immigrants	Immigrants shouldn't be in Europe.
636698169502404608	non-whites	Non-whites are racist.
695694698694836224	immigrants	immigrants don't deserve basic rights
895189927713026048	Liberals	liberals don't like white people
684829303805218821	white people	White people are becoming the minority.
356295718325075968	australians aboriginals	australian aboriginals are vermin and devils
901834287007363072	Jews	Jews don't like white people.
909171836440674304	Minorities	Minorities are inferior
895618231511248896	Immigrants	Immigrants should be deported.
898464422129283072	Pakistani people	Pakistani people are dangerous.
887420736297730052	refugees	Refugees should stay in their home countries.
886868033226117120	Minorities	Minorities are subpar races.
912318204755636224	Minorities	Minorities need whites to lead them
833689435942313984	white people	White people hate other white people.
794441573098397696	Disabled people	Disabled people aren't capable
917817828270661632	black people	Black people are terrorists.
874254383394979842	Immigrants	Immigrants exclude whites
465275237316063232	Jews	Jews are insensitive towards white people
678624429220470784	Minorities	Minorities attack whites.
879116732496986113	Jews	Jews are hypocrites
667405224684818432	Jews	Jews are responsible for white genocide
360475492853350404	Jews	Jews are devious
891160437747838848	Immigrants	Immigrants should be imprisoned
842160242066612224	Immigrants	Immigrants should be deported
927948307888070657	Progressives	Progressives preach anti-white sentiments.
660289170254884864	non-white people	Non-white people are invaders.
741038844871462912	Immigrants	Immigrants should be deported
909704100916449280	police	police kill blacks
872514702106144640	Muslims	Muslims are dangerous
718834431297867776	Jews	Jews are devious
901290043465240576	Minorities	Minorities blame whites for their problems.
640736886357540865	immigrants	immigrants are invading the country
788373943308681216	Immigrants	Immigrants are bad
802588273503825921	Conservatives	Conservatives are gullible
926320549214777344	Minorities	Minorities are substandard people
885742959769116672	non-white people	non-white people are threatening
930778329963290629	White people	White people hate their own
895175319874928641	Black folks	Black folks have no respect
877946005915828224	Jews	Jews are not white
829898736583180288	People of color	People of color are allowed to love their race but white people are not
865413262384300032	White people	White people don't belong in America.
928380411293634432	Immigrants	Immigrants should die
685727493429444609	Jews	Jews are inferior
750710102659887104	Trans folks	Trans folks are irrelevant
729007907828695040	white people	White people are dying out.
809577949636628480	immigrants	Immigrants are here illegally
771086965504479232	white people	White people think they are better than others.
741675506211246080	Immigrants	Immigrants are homeless and everyone has AIDS
781226511751868416	Whites	Whites are inferior
887891413056147328	immigrants	Hate directed at immigrants
900958512489963520	non-white people	Non-white people are jealous of whites.
904166738836594688	Minorities	Minorities are inferior
761411186940272640	Gays	Gays are abnormal.
432477348450271232	white people	White people are trash.
599638600238682112	Immigrants	Immigrants are rapists
615759936627150853	non-white people	non-white people should be segregated
851779258779410432	Muslims	Muslims are not suitable for society
692567687327830016	black people	Black people kill white people.
699491730467508224	Immigrants	Immigrants should be killed
930201535023259648	immigrants	Immigrants are bad for the country.
859132856190341126	black men	Black men love fat white women.
568219353448988672	Planned parenthood	Planned parenthood are killers.
703373466494332928	non-white people	non-white people are a threat
590039455928451072	white people	White people are racist.
106455742806114305	Whites	Whites hate immigrants
709080836100861952	Russians	Russians don't like Muslims.
832965396475080704	non-white people	non-white people are criminals
918425155508023296	minorites	minorities are inferior
894659437800996864	Russians	Russians act questionably.
923623442695385088	Minorities	Minorities are less than whites
896010983415713920	Politicians	Politicians are stupid
945681297632088064	white folks	anti racist seen as anti white
935304117299372032	Immigrants	Immigrants should be deported
897943432793948160	Immigrants	Immigrants should be killed
856964223083139072	non-aryans	non-aryans are impure
661228294520463360	Immigrants	Immigrants are ignorant
757311871573712896	Immigrants	Immigrants are animals
840724274222571520	Immigrants	Immigrants should be deported
931924878697123842	Blacks	Blacks are sub-human.
890339560575705090	white men	White men are hated.
865045800195424256	Liberals	Liberals are stupid.
786586553246109696	white people	No one cares about white people.
662916496310538240	Muslims	Muslims are scum and must be exterminated
891439008412086273	Minorities	Minorities are looking to destroy the white race
802166497397317632	Jews	Jews are conspirators
904116738119278592	white people	White people are not diverse.
914565705189732352	Jews	Jews are against white people.
877005143107133440	immigrants	Immigrants are subhuman
670083289659645953	white people	God hates white people.
286648237073506304	Minorities	Minorities want to destroy the white culture.
945838823610523654	white people	White people are guilty.
361100269280436160	immigrants	immigrants commit several crimes
691092913791500288	non-white people	non-white people are oppressors
821594957156909058	Whites	Whites are weak and feeble
937061178731368448	Americans	Americans are unintelligent
776870885332508679	Hispanics	Hispanics are substandard people
912297694558687233	Jews	Jews commit fraud.
817460972566835209	Hispanics	Hispanics are less than whites
648638622514704384	Immigrants	Immigrants should be killed
427023147649351680	white women	white women are discriminated against
921580331496378368	Immigrants	Immigrants should be deported.
792544884582444928	Immigrants	Immigrants should be deported
797109528840011777	Minorities	Minorities are less than whites
630023027934150656	Liberals	Liberals are inferior compared to conservatives.
919642227348979456	Immigrants	Immigrants should die
918082305591250944	People of color, Democrats	People of color and democrats don't care about white people
506772291909607425	Immigrants	Immigrants mooch off the government
891380389872316416	Minorities	Minorities are dangerous.
699599899042537472	Immigrants	Immigrants bring down society
GAB_27551	Black folks	Black people are dangerous
589159106579169280	Minorities	Minorities are liars
676167160520142852	Jewish people	Jewish people are bad.
221307524597555201	white people	White people cause diseases.
922983828679020549	Liberals	Liberals are killers.
761596873203445760	Minorities	Minorities are second class citizens.
673614352277241856	Muslims	Muslims are rapists.
896147885565165568	Leftists	Leftists are aggressive and violent
318215525723418624	Jews	Jews are trying to destroy the white race
890349347879112704	Africans	have a backward culture and can't learn.
749301152911466496	white people	White people are dying.
903379370907230208	Minorities	Minorities are less than whites.
697355679913418752	Minorities	Minorities are given special consideration
810099368036601856	Muslims	Muslims are a threat
531916025387053056	immigrants	IMMIGRANTS SHOULD BE SHOT.
395068088573390848	Minorities	Minorities are killing off whites
757518791362371584	Black people	Black people are violent
739829353672904704	white liberals	White liberals are entitled
757676618898739200	Homosexual	Homosexual are not part of god plan.
854115434035105792	poor uneducated people	poor uneducated people are stupid
900088557133606912	women	women are not fearless
454711527745286144	Minorities	Minorities are subhuman
822743868072345602	Minorities	Minorities are taking over.
732431504358301698	Jewish	Jewish people are not white.
921905273362460672	Immigrants	Immigrants should be killed
706247797775986688	Conservatives	Conservatives are against the white race.
829427554788388864	Minorities	Minorities promote hatred of whites
406808810045464576	Muslims	Muslims are terrorists.
690400087491661824	Muslims	Muslims are inferior
890785070671306752	Blacks	Blacks are inferior
889235947619053568	Minorities	Minorities do not belong in America.
898231130905862145	communists	Communists hate everyone.
917230103851098112	Jewish people	Jewish people want to suppress free speech
918251626732724224	Arabs	Arabs are easily manipulated
898371442231959552	white	whites are racists
727221444896116736	Immigrants	Immigrants are invaders
727823959518019584	immigrants	Immigrants break the law
923638469880139776	Whites	Whites refuse to face racism.
585591119884464128	Minorities	Minorities are inferior races.
GAB_20087	Muslims	Muslims should be killed
842167289231237120	Illegals	Illegals get special considerations
873199216167854081	Blacks	Blacks are power hungry and aggressive.
937751555586920448	Minorities	Minorities degrade other races.
669923902139801600	Muslims	Muslims want to take over the world
422771452643799040	Immigrants	Immigrants are invasive
758394754031882240	Muslims	Muslims are cowards
893101259275853825	Black folks	Black folks are stupid
545895899549810688	Hindus	Hindus are violent.
937051454027771904	Journalists	Journalist hate whites
900368137874309121	Black Lives Matter	Black Lives Matter only care about black people.
914936589490540544	Black people	Black people have low IQ
651330661832220672	Immigrants	Immigrants are invaders
742132162942504960	white people	White people are killers.
673964261400567808	Jews	Jews hate white people.
892751690620780544	White people	White people are racist/the only race capable of being racist
783765215863250945	Black people	Black people kill white people
585544898889285632	white people	White people are dying out.
901477756399214592	white people	White people need to stick together.
488737583602491392	Gays	Gays are inferior and subpar humans.
905141554305802240	Whites	Whites are stupid.
907407747276210177	white people	White people are the future.
434734044954103808	Jews	Jews are greedy
476131161719451648	Jews	Jews are looking to destroy the white race.
754743692594913281	muslim	muslim's are anti american
899457918822739840	No specific group	See above
382541123824001025	white people	White people are privileged.
917763634419453952	Immigrants	Immigrants are threatening
864897724222763008	Democrats	Democrats are racist and against white people
637001177343746052	black people	Black people hate white people.
829054082144927744	Illegals	Illegals take advantage of others
940707817018630144	White people	A white person should trust another white person.
940426630413062146	Muslims	Muslims hate people who are not Muslim
888411097161707520	Immigrants	Immigrants should receive less treatment than nationals.
856642847176523776	Jews	Jews are not white
766116219078504448	white people	White people are worthless.
253090267832389632	non-white people	non-white people are oppressors
897094171986722816	Muslims	Muslims are racists.
901921318878240771	Foreigners	Foreigners hate Americans
734233802835300352	People of color	People of color are inferior because they are not white
929750809973346432	Not specified	the group are angry.
886416158638854144	Not specified	The group don’t make sense usually.
886954142857650180	SPLC	SPLC's aim is to destroy extremists
138383641465192448	Minorities	Minorities are inferior.
638193567144382464	whites	white lives matter also
779886495322611713	white nationalists	White nationalists are racists.
433007516197597184	Minorities	Minorities are primitive
829901187264684032	Old people	Old people are boneheads
779323113309896705	Liberals	Liberals are baby murderers
690060488982577152	Jews	Jews don't like white people.
858822243002060800	Jews	someone is appeasing the jews.
888863796948865025	white people	White people don't like other white people.
842309470956974080	Immigrants	Immigrants are all illegal
792431638793814017	Immigrants	Immigrants are taking over
746005314433015808	Immigrants	Immigrants are a profiteering people
915760847569522689	Blacks	Blacks murder whites
933649807243169792	Trump supporters	Trump supporters are white racists.
798743444705472512	Illegal immigrants	Illegal immigrants shouldn't be allowed in the country
841128972230381568	white people	White people belong in America.
415963662772633600	white people	white people are undesirable
879773240197095424	Latino folks	Latino people are irresponsible
910020069941436416	Illegal immigrants	Illegals immigrants hate American culture
863440108065890307	White conservatives	White conservatives are bigots.
730128403454627840	Muslims	Muslims disrespect women
544973941454807042	non-white people	non-white people are inferior
846932162158837760	White nationalism	White nationalism is better than Jewish nationalism.
614881127224881152	People with left political views	People with left political views allow beastiality.
603863482983960576	Muslims	Muslims degrade women
924406946786172929	Minorities	Minorities are dishonest and manipulative
524608013089660929	black immigrants	Black immigrants are bad for America.
893044557625135104	Immigrants	Immigrants are taking over
929838545958731520	Black folks	Comparing black people with animals
903458708386144256	Antifa	Antifa are terrorists.
260568172732743680	Conservatives	Conservatives pander to jews
346167469880262656	Muslims	Muslims should be deported
806093292672692224	Jewish people	Jewish take things from others
702564523836874752	Immigrants	Immigrants are rapists
426161650475880448	White people	White people want to be segregated from people of color
239504239007776769	Blacks	Blacks commit all the crime.
356998365633970177	white people	White people need to revolt to take back the country
905551357213474816	White people	White people are racists
938854223692910592	Muslims	Muslims should be killed
844004697866362881	Jews	Jews are not white
903320925424234498	non-white people	non-white people are low IQ
375547929710194688	Muslims	Muslims victimize whites
834851309073342464	non-white people	non-white people are inferior
627596651817885696	white	anti-white sentiment
842517282534440964	Blacks	Blacks hate whites
341257806697091072	Muslims	Muslims all look the same
456938985147731968	Immigrants	Immigrants are overpopulating the planet.
686456292513312768	Muslims	Muslims are violent
752002915502526464	Black people	Black people are rowdy
938845155897085952	Arabian people	Arabian people are criminals.
453269629713272834	Gays	Gays are abnormal
841284895892766720	immigrants	immigrants are illegal aliens.
946432255924113408	Immigrants	Immigrants should be deported
901098422911893506	black people	Black people are bad.
394949244383428609	Progressives	Progressives are dishonest
819355526563766272	Immigrants	Immigrants should be deported.
290741585916874752	black people	Black people are violent.
829296485355364353	white people	White people can't be proud of their race.
923027148952276992	Blacks	Blacks hold a double standard against whites.
484385072112750592	Jews	Jews want to kill white people.
804830044774395905	SPLC	SPLC hates white people.
761329824518533124	White Christians	White Christians are superior to other races.
839772293056368640	Immigrants	Immigrants degrade society
900827895509249920	vandals	Vandals should be killed for their actions
729771553139785728	Immigrants	Immigrants are criminals
911760089438187520	Minorities	Minorities are subpar compared to whites.
804403069718925313	Jews	Jews promote hatred of whites
639412605887582208	Muslims	Muslims want to destroy the white race.
900158707589300224	Whites	Whites are dishonest
882026007129071616	Immigrants	Immigrants should be deported
924404296908668928	Blacks	Blacks are incompetent.
769310217817522177	Minorities	Minorities are inferior
758709609351647234	Whites	Whites are criminals
933553484355342336	Immigrants	Immigrants are terrorists
655784771025543168	Germans	Germans are low class
816413616324878208	Homossexuals and Transgenders	Homossexuals and Transgenders should not be in the scouts
918977405439447041	white people	White people founded the country.
548214253497249792	Black people	Black people are violent
933545615476383744	Blacks	Blacks are genetically inferior
908126663170342912	White people	White people are being labeled as white supremacists in rural areas of the country
944704489981923200	Immigrants	Immigrants are against the business of the country in which they occupy
672148452550266880	Refugees immigrants	Implying refugees are coward people running away from their country.
902157226177122305	white people	White people are racist.
655433078039564289	Immigrants	Immigrants are killers
766042744443826176	Whites	Whites are prejudiced
872195137073545221	Muslims	Muslims are killers.
485484025256374272	Minorities	Minorities are inferior
918948685177901056	Minorities	Minorities are inferior
647142846185639937	Minorities	Minorities are inferior
829157586255634433	white people	White people are racists.
835651612911812608	Minorities	Minorities are lower than whites
259348334509170688	Whites	Whites are hypocritical.
