post	target	implied_statement
the white house is currently a sanctuary for a moron .	Conservatives	Conservatives are stupid.
yes white people need more tribalism . it will be needed today for survival .	white people	White people are needed for survival.
you're a bit more mellow than i am this morning  tommy . all muslims must be considered potential terrorists	Muslims	Muslims are terrorists.
the white race we must talk for its beginning about 4 millions and 900000 years ago as the first race . so the red and then the black	Minorities	Minorities are third class races.
not on pork? or choking on their salivas?	Muslims	Muslims cannot eat pork, they are stupid
atlanta hawks poor attendance is blamed on black crowds making southern whites uncomfortable :	black people	Black people make white people uncomfortable.
as always  a complete bias against white people . no hate charges for black power . white lives do not matter .	black people	Black people are never charged for crimes.
g-d forbid a child might actually think of g-d on the playground, and we can't have that kind of religious statism, now can we?	Religious people	Religious people are indoctrinating us
: coming 2 america -> every 4.8 seconds a white woman or girl is raped by muslims in europe	Muslims	Muslims are rapists.
: has been proven right yet again ! for many years #davidduke has been warning people about #hollyweird etc .	white people	White people don't like people in Hollywood.
how any white liberals coming to #ferguson and #shawshooting this weekend will get robbed ? place your bets !	Minorities	Minorities are criminals
- 15 year old white danish girl blinded by african muslims in racially motivated hate crime ( video )	Muslims	Muslims victimize whites
sorry muslim not the highest	Muslims	Muslims are ignorant
do you want to save the #whiterace the wise ( #wei #white ) from #whitegenocide ?	non-white people	non-white people are oppressive
end all immigration entirely.	Immigrants	Immigration should end
believing you are an alien, or another species, or a man trapped in a woman's body is a perception disorder	Trans people	Trans people are mentally ill
you are anti white	whites	anti-white
we really dont care about offending you fools..just stay there an slaughter eachother.fuqin animals	Immigrants	Immigrants should die
dear white women : they hate & resent you no matter what so marry a white guy & have beautiful white children	Minorities	Minorities treat women with disrespect.
this guy needs to be deported. should be illegal for lawyers to represent an illegal.	Immigrants	Immigrants are all here illegally.
whiteness is supreme in white countries . every other race is even more ethnocentric than even whites are  in their respective countries	white people	White people are better than other races.
you're a smart guy, what color is your wife?	Black folks	Black people are stupid
" unfortunately  valerie grim is stuck in an outdated paradigm wherein all white advocacy is  "" hate "" "" . """	non-white people	non-white people are a threat
over 80% of the filthy mud invaders do not have any qualifications which destroys zog's myth of the 'professional/highly skilled migrant'!	immigrants	immigrants are dirty and hostile invaders that destroy civilized culture
"  "" whiteness wounds others . understanding this is critical to anti-racist work in white spaces . "" "" this is ridiculously racist by itself . """	Progressives	Progressives preach anti-white sentiments.
c'mon florida let's get him out!	Immigrants	Immigrants have to be deported
white people don't belong in civil	Whites	Whites are heathens
i am a moderate white supremacist the only continents that need to be white are europe & n america  afri	non-white people	non-white people are inferior
i do feel bad 4 them & i rlly dont know wht the solution is b / c if they come ovr illegally--they cont in illegal activity	Immigrants	Immigrants are lawbreakers
your wrong and the white guilt agenda you push is what woke me . must suck to not even know your actions are not of your own  but socially engineered . now dance robot	white people	White people are guilty.
" who is promoting  "" white privilege "" "" ? #withjewswelose """	Jews	Jews are devious
" yeah ut i the tweet i read you basically said it was just to lure antifa away ..  "" and they fell for it """	Leftists	Leftists are gullible
america is an extension of europe  according to the first european settlers and founding fathers .	America	America is European.
4396 white murderers  5375 black murderers . all the while blacks are 13 % of the country's population .	black people	Black people kill more than white people.
sadly this is what the older jewish sect wants . a black on white race war	jewish people	jewish people want a race war.
if it's religion,politics,peacetime or warfare. women have shown at times to be far smarter and efficient than we men are. (pt2)	No specific group	See above
ebony editor isn't sure killing white people should be considered a ' hate crime ' via	Blacks	Blacks dismiss and deny others.
bible publishers should be free to do business according to the book that they publish,	Bible publishers	Bible publishers are Christians
he overdosed on black pills when the narrative was hijacked in charlottesville .	Black people	Black people use too many drugs
if anyone really watched the difference between whites from houston after harvey w / pr & florida between ; you saw the difference in culture .	Minorities	Minorities are helpless and weak
honest inquiry for the , do you hate all non-white races equally? i seriously like the compassion displayed towards animals, though.	white folks	White folks hate non-white people.
no way are you prepared  have you got : - a lame insignia on a shield-kkkhakis - white power polo-poly	Whites	Whites are unskilled
let's all return home . whites to euro  nice . others back to 3rd world	Immigrants	Immigrants are inferior
" my family is british.your are just confused .  "" english white jew "" "" """	english white jew	calling a person a name.
i believe that sjw are making white men the scapegoats  like hitler did w jews .	Liberals	Liberals blame whites
> a uniquely american people & history . globalists hate the south because it is american . we're all southrons .	Progressives	Progressives despise Southerners.
i want a hold on all immigration even from european countries .	Immigrants	Immigrants shouldn't be in the country.
white supremacist don't like jews are black ppl . trumps family is jewish . trump helps african american	Jews	Jews are against the white race
yes they teach it  white shame our kids . and turn black children into victims  who hate white ppl . starts young . must change .	Blacks	Blacks promote white guilt
it's outrageous that good journalists would white wash an islamic phrase  used to kill  and main  and destroy good .	Islamic people	Islamic people want to kill.
fair has ties to white supremacists group . just reading their literature you can see how racist they are .	white people	White people are racist.
white devil books	white people	White people are evil.
california is an anti-white state . theblaze	Progressives	Progressives dislike whites.
pastor mealy mouth should be reminded that white people did more to spread christianity than any other race !	White people	White people helped to spread Christianity
japan has the blueprint on how to handle islam. we don't need to kick them out of the usa - we simply need to 'freeze them out' of society!	Muslims	Muslims should not be given opportunities
"as if muslims at the border will admit they want islamic law. """"do you believe gays should die?"""" """"no."""" """"ok, in you go."	Muslims	Muslims want to implement islamic law in the US
. there is dangerous power in using ' scientific ' findings to undermine gay marriage	Gays	Gays are abnormal.
why do jews want access to all white countries hey ?	Jews	Jews want control.
disgraceful. embarrassing. please have all incoming refugees from the banned countries go to hawaii!	Immigrants	Immigrants should be deported
come on  everybody hear white people  white nation .	white people	People should listen to white people.
If furries wish to identify as animals we should be allowed to hunt them.	Furries	Furries should be hunted
who cares to wager that will attack tonight because they don't hate white kids ? #charlestonshooting #charlestonstrong	killers	Killers like white people.
" the biggest lie of all is the fake jewish  "" holocaust "" "" narrative of wwii ! on the importance of exposing the holohoax """	Jewish people	Jewish people are making up the Halocaust
i'd say they should be given equal treatment, the same as every other undocumented alien. demand all you want from your government, this one doesn't belong to you. go home and blame your parents.	Immigrants	Immigrants should be deported
ethics r subjective & white . truth is objective . if cultmarx white genocide succeeds t	Liberals	Liberals to see the end of the white race
it was a white country  the founding fathers made this a white country  and it will be so again !	white people	White people are great.
walid shoebat on the bergdahl family #islam connection * the savage nation * march 26, 2015	Muslims	Muslims are savages.
happy mother's day to all the loving  hard-working #aryan moms out there . we are fighting for you ! #whitepride	white people	White people are good mothers.
televizion is good for jew !	Jews	Jews control the media
: sharia law is barbaric	Muslims	Muslims are barbaric
68 shot and 8 killed in chicago over the thanksgiving weekend but the race baiters keep blaming white supremacy . can you say copout ?	Progressives	Progressives are manipulative and sneaky.
stop #whitegenocide protect white children .	white people	White people need to be protected.
" 2 million  "" natives "" "" dont get dibs on all of north america . white settlers built what refugees are flocking to . """	white people	White people build up countries.
diversity always means fewer ( or no ) whites	Minorities	Minorities want to displace whites
" sbc : we will sacrifice your children  nation  and heritage whether you like it or not for the sake of our sjw  "" christianity "" "" """	Christians	Christians want everyone to be like them.
what happened to the mulatto  quadroon  and octoroon ? ! libtard media cucks won't tell you about these 17 secret races	Black people	Black people dilute the gene pool
ya know that james craig is a neanderthal evolutionary throwback & an irrelevant jackin off jesus junkie bigoted breeder..like y'all	James craig	James craig is irrevelant and stupid.
don't be silly . if i wanted black people to die  i wouldn't support disarming them . stop the violence #nra	Blacks	Blacks are violent.
yep, genetics is racist. jesus, man, quit drinking before it's too late.	Muslims	Muslims are all racist
gov. talks shit about immigration to get votes. we americans suffer. it's not that hard to deport illegals. put military on the borders.. shut down businesses that employee them end of story	immigrants	immigrants should be deported and are used as a votebank
only certain groups of whites are degenerate .	Jews	Jews are degenerates
i guess the aclu doesn't support white people . maybe they should call themselves the naacpaclu .	Black people	Black people are coddled
it would be everything fine if the cop was christian or jew . only they can kill in se	Christians, Jews	Christians and Jews can get away with murder in the southeast
our cities were actually livable when they were run by those ebil racist white soopremacists	white people	White people are racist.
: leftists march against white people across the usa via	Leftists	Leftists are anti-white
fine their asses and cut their funding.start sending the illegals back to their home countries.americans 1st	Immigrants	Immigrants are profiteers of resources and must be expelled
there are both white and black supremacists, but when it comes to being self-sufficient, whites are much more capable, and you hold us back.	Black folks	Black are less capable of being self-sufficient than white.
don't capitalize the j in jew . it really gets to them . plus jews never capitalize the w in white . exceptions : titles & beginning a sentence .	Jews	Jews are selfish and self-centered
weknowwhoisbehind plot 2genocide white race	Minorities	Minorities are in a conspiracy to destroy the white race
while the non-white man is free to express his own national and racial identity .	white people	White people don't have freedom of speech.
" rt does  "" generation identity "" "" really want the "" "" remigration "" "" of black americans ? if yes  where to ?    """	Progressives	Progressives advocate for blacks taking over.
christian leader : gay musical is ' sexual propaganda ' caught lying about obama  yet again	Christians	Christians hate gay people.
the jewish educator is out ! stories via	Jewish people	Jewish people shouldn't be teachers or in positions of power over children
we don't need their permission 2 take their ppl back. bring 2 border & throw them back. enough of this being civil 2 uncivilized countries	Immigrants	Immigrants should be deported
jewish harvard professor noel ignatiev wants to abolish the white race via #wr	Jews	Jews are oppressors
not only secure the border, but restrict all immigration in the united states for 50 years, unless from europe.	immigrants	immigrants from non european countries are unwelcome
they should be hit in the face when it's quite obvious you better punch her 1st, before she does you. self-defense.	Not specified	The group love to fight innocent.
i am talking about the prominent jews ~ not the ordinary jews who are working class / white collar.there are a few low class	Jews	Jews are second class citizens
go fuck yourself maybe? i mean i wouldn't make you do anything, like leave the country for example.	sfgfsfgf	ffsgsfgs
we'll get help from anyone we can - a mass white migration to russia & white liaison offices in all nations opposed to jews	Jewish people	Jewish people are anti-white and evil
wow you guys put up more posters ! truly a major victory for the white race	non-white people	non-white people are inferior
this is & she is jew . perfect articulation . bold	Jews	Jews are substandard people
even the scull structure are diverent  the white race has got a crown in the middle of our hairline  the blacks don't ..	Blacks	Blacks are sub-human.
lots of white folks losing their illusions about the race #ferguson	white people	White people don't understand race.
obama never disavowed his racist ex pastor jeremiah wright and gave the eulogy for career klansman robert white sheets byrd .	black people	black people are racist.
denies t / quran instructs to kill	Muslims	Muslims kill non-muslims
that negates the global system of white supremacy ?	Minorities	Minorities are the inferior races.
" rt  "" white privilege "" "" is when the gun jams of the gang banger trying to kill you . #fergusonoctober """	minority groups	people in minority groups are all in gangs
racist ( anti-white ) commieleftwhite mayor #nola incr.antifa  blmpwrs & deeply div .	Democrats	Democrats are racist and against white people
cops kill more whites than blacks .	cops	Cops don't kill many black people.
no more refugees! start sending all of them back! treat it like tps= temporary!	Immigrants	Immigrants should be sent back to their country
: russian tv report on france's white genocide by mass immigration : white people are disappearing from all over france ... ...	Immigrants	Immigrants are taking over.
" cuck is the new  "" racist . "" "" guess what ? you are the fringe now . we don't want your comments in mainstream publications """	conservatives	Conservatives are racists.
So my talking has made Muslims procreate faster, has it? Interesting logic you're using there. Tell me, what do you propose to do about it? Do you have any plans? 1.6 billion today identify, at least culturally if not religiously, as Muslims. You have 7000 nukes and 23 aircraft carriers. Shoot.	Muslims	Muslims should be killed.
... criticism as islamophobia and / or racist abuse because you are scared .	Whites	Whites are cowards
boy  white women know how to choose ' em .	Minorities	Minorities are beneath whites.
israel has always been our enemy . jews hate white christians even more than muslims . #parisattaques	Jews	Jews promote hatred of whites.
beautiful white nationalism .	Minorities	Minorities are the lower races of people.
the birth of white identity in colonial america via	white people	White people belong in America.
excellent ! the jihad of words via	Muslims	Muslims want war
black on white crime unveiled : via	Black people	Black people are criminals
groups like have rallied in #charlottesville before without incident . it's groups like & other #antifa groups .	Liberals	Liberals are violent and cause riots
i have a shocker for you  there are no white supremacists  but there are white ( ( ( supremacists ) ) )	Jews	Jews are lying tricksters creating false narratives of threatening white supremacy.
about 8% of what it costs to feed, clothe, house & incarcerate them every year. #buildthatwall!	Immigrants	Immigrants should be deported
" rt total clown world we live in - non-whit invaders are welcomed into white countries  & white women end up  "" falling in love "" "" with them . """	non-white people	Non-white people love white women.
: demokkkrats stop your racist deceit ! obama sat underneath a racist america hating black liberation garbage spewing idiot	Black people	Black people hate white people
some are mixed-race part-euro ~ they imagined most will intermarry whites and future generations will be white	Minorities	Minorities are substandard races
head for liberia  advance your people and be free of the white man .	Whites	Whites oppress blacks
calling us racist for noticing that you're raping and murdering our people only makes us hate you more .	Immigrants	Immigrants are rapists and murderers
jihad mass murder of indigenous people of america by white race ? .. jihad = manifest destiny ..	Islamic people	Islamic people are killers.
you implied that whites are genocidal and i called you on your bluff . instead of acknowledging your anti-white rhetoric  you retreated to the tired trope of slavery.you may want to take a peek at your own homeland  they seem to be * currently * having issues of their own .	Minorities	Minorities are hypocritical
. hey watch this . #leftism = enabling #islamists since times before #crusades . #historyrepeats	Democrates	Democrats want Muslims to defeat Christians
jews are white nationalists now . who knew ?	Jews	Jews are racists
let's start issuing boarder zone hunting licenses, non-lethal of course	immigrants	immigrants should be able to be shot if caught crossing the border
" rt  "" : : non-white hate crime mob violence comes to finland ( video ) "" "" ; cultural enrichment ? """	Non-whites	Non-whites are violent.
no . no non-white refugees  period .	non-white people	Non-white people shouldn't come to the country.
where's the line to give blowjobs for citizenship?	Immigrants	Immigrants should be abused
breitbart is the #fakeright and puts israel above their white audience .	Jews	Jews are not white
toss their carcasses over the border, or in prison.	Illegal immigrants	Illegal immigrants are useless
coming from a white guy pretending to be black ? makes sense .	Blacks	Blacks are subpar humans
" deadly syllables > mc / mc-cas-kill : loon who enjoys her  "" love pat for the day from the tsa ; ; kill : ill-egals thrive & kill in cities """	Illegals	Illegals are murderers
when white is rightwho wins ? jew b du b du	Jews	Jews are evil
jumping people is not normal for white people .	white people	White people aren't violent.
the worlds biggest racists are actually brown people while white people are the least racist #	brown people	brown people are bad and hate white people who are good.
yeah, because the dems want to bring in degenerates that don't belong here.	IMMIGRANTS	IMMIGRANTS ARE DEGENERATES
: not only is he not a white supremacist  he's a true friend of the jews - probably the best in the wh .	Jews	Jews are substandard people
aye  well  i like the nineties . people were happy and confident and the diversity hadn't started to bite .	Minorities	Minorities are inferior
good to hear - u cant violate our laws and expect to get away with it forever! go ice!!!	immigrants	Immigrants are criminals
okay  so is europe rightfully owned by white people ?	White people	White people think they own all of Europe
you have it all wrong ! nazism isn't white this  white that . it's about being a powerful regime ! remember our fathers ! #nazigermany	Minorities	Minorities are weak.
well jeb ! is a white #antiwhite traitor ...	Conservatives	Conservatives hate whites
notice they're a white couple . #antiwhite #chasingdownwhites #whitegenocide	Minorities	Minorities are inferior to whites
doesn't having white friends usually clear blacks of hate crime charges ?	Blacks	Blacks are hypocrites.
of course tinder was founded by two jews . no surprises .	Jews	Jews are devious
ritual muti killings is a way of life in rural areas of black south africa via	Black people	Black people are violent
an interesting theory but it doesn't change that jews are white	Minorities	Minorities are substandard people
they are human, the worst kind, but human.	Immigrants	Immigrants are the worst scum of humans
let's be a white resister : because the beauty of white aryan woman must not perish from the earth via	Minorities	Minorities are the lower class races.
: nothing to see here . we all know black on black and black on white crime is acceptab	black people	Black people are allowed to commit crimes.
right . im questioning if this was a legit event tho - it looks like a hoax perpetrated by the jewish owned mass media tbh	Jewish people	Jewish people lie.
remove the reasons why illegals come here and illegals will self dep	immigrants	Immigrants take jobs
jewish journalist alanna schubach wants to bring multiculturalism to the noble japanese  ending millennia of tradition and homogeneity .	Jews	Jews want to destroy Japanese culture
tariq unblock him so my boy elder can punch u in the head you coward !	Muslims	Muslims are scum and cowards and must be punched
" this construction exactly reverses the power dynamic of the holocaust - in  "" white genocide "" ""  white european-americans are the putative victims  and jews ( often signified by the term "" "" cultural marxists "" "" ) are cast as the eliminationist oppressor . """	Jews	Jews persecute whites
he needs more food  and white women	non-white women	non-white women are inferior
the war on white people is global ... they are attacking flags and statues all over the west ... and mass murder of whites will follow .	White people	White people are at war with others
black run america : white girl suffers seizure after black girl assault in mcdonalds	black people	Black people hurt white people.
yes let's secure our borders from these terrorists! oh wait.	Immigrants	Immigrants are terrorists
we could easily solve the whole muslim problem if we armed them all with light weapons, isolated them	Muslims	Muslims should be killed
new calif. educati on bill wont compensate for #overpopulation, over-#immigration #toomanypeople #blog	Immigrants	Immigrants are too much.
"  "" lawyers for la raza ... believe it is their mission to humiliate and destroy white christian america . "" "" """	white America	White America is being destroyed.
america has problems to be honest but quite frankly i don't think it's the normal white family	Minorities	Minorities degrade America
bexar county sheriff says the bill would alienate immigrants. wait, what? alienate illegal aliens?	Immigrants	Immigrants are illegal and should not have rights
white nationalists love marble statues .	Minorities	Minorities want to erase white history.
stamp out islamophobia? how about stamp out islam and the dark invaders? they have to go back.	Muslims	Muslims should be deported.
002 no country for white nationalist 2016-9- 20 by race and nation #fascism #nationalsocialism #altright #whitepride	Minorities	Minorities are the inferior races.
in 1930s  hitler began blaming jews for financial woes of struggling germans . many had $ $ / businesses . built a campaign of hate  lies  er anger against evil juden . i got into this thread bc op1 is spreading hate  lies  anger against evil white race.very hitler-esque !	whites	spreading hatred toward whites
the globalists shut down the white supremacists . hence  wh	White people	White people are white supremacists
already happening in toronto and is 52 % non-white . detroit : the death of white civilisation via	white people	White people are dying out.
i'm all for white ( euro-nationalism ) and to a greater extent global nationalism . too much hate in the world	white people	White people should rule the world.
white americans kill the most americans . let's get rid of you  using your logic but using facts instread of false hate propaganda	Whites	Whites are violent murderers.
the revenge of rural white america via	non-white people	non-white people are oppressors
you're the only independent white person  the others are slaves to jews  iranians  pakistanis  moslems	Whites	Whites are weak-willed
i dont need a group to tell me that whites should be revered or preserved or protected or special ... im not afraid of being replaced	white people	White people are special.
" hamas : kill #christians & jews to the last one  "" """	Christians and jews	Christians and jews are non-believers
what are you doing for the preservation of your white race ? . - join us ! !	Minorities	Minorities are killing off the white race
oh right & that celebration of whites dying out while feeding off of their tax dollars according to you	white people	White people are dying out.
rahowa is what skinheads and white supremacists call a future desired race war .	White supremacists	White supremacists want race war
"  "" : jared taylor on the white man's disease : pathological altruism . #race #tpot #tcot "" "" ... wow ! a must read """	white people	white people are naive
mcconnell is pro-jewish ~ he was annoyed by my anti-semitic comments for a time	Jews	Jews are inferior
this is only the beginning  believe me - whitey is done being pushed around by marxist / anarchist / leftist anti-white scum  time for pushback !	Liberals	Liberals hate whites.
end them all potus!!!!!	Not specified	the group should be ended.
now it has that commercial where the travel show guy recommends race-mixing to eliminate white people .	non-white people	non-white people dilute the gene pool
this is just another good reason for white southerners to quit giving their money to the nfl .	Minorities	Minorities take money out of the hands of whites.
border wall build it	immigrants	Immigrants shouldn't be in the country.
because jews meddle too much  white christians gave 60 + million lives	Jews	Jews are always in other people's business.
cuckservatives : french family edition via #cuckservative #whitegenocide #transracial	Conservative males	Conservative males are feeble and ineffective.
if he is pro white and becomes president  all the white countries will follow suit.no elections necessary !	non-white people	non-white people are unimportant
. this is how western civilization ends.whimpering, cowardly surrender to 7th century islamist savages.sad	Muslims	Muslims are savages.
a national socialist gov would attack corruption at every turn and eliminate it . #wpww #whitepride #whitepower #tcot #capitalism #greed	Minorities	Minorities are corrupt
the best medicine for perverts is to ship to isil..they will take good care of u..	Muslims	Muslims are terrorists
racist black goes on anti-white shooting spree  says his teachers taught him to hate whites via	Blacks	Blacks blame others
maybe you should go to black lives matter and whine about your white guilt	white people	White people don't like Black Lives Matter.
law-abiding illegal aliens is an oxymoron. secure the border.	illegal immigrants	Illegal immigrants all break the law.
" no one but stupid white conservatives in america buys into the  "" colorblind "" "" individual game """	White conservatives	White conservatives lack intelligence.
on the ones and twos, coming straight to you to keep those keto blues far away all day everyday, clanging and banging, huffing and puffing, my man pots and pans, the one the only, the tidiest, whiteiest this side of the trump wall! he has it all, tight whitie!	White people	White people like trump.
auschwitz - april 1944 - the sick and disabled . : according to the fable of auschwitz  if you were not fit for ...	Jews	Jews are dishonest liars.
white will dominate ! sieg heil hitler	white people	White people are superior.
cannonized book of 1924 ; might > new one now is filled caliphate & sharia law . people are'nt awake . as	Muslims	Muslims are subversive
so now you are denying that white countries are flooded with non white to create a ' blended humanity ' ? #whitegenocide	White people	White population is decreasing
#ferguson and #detroit are a reflection on the innate capacity of blacks to further and advance civilization	Black folks	Black people are detrimental to society
what say you ? ? on point about so much  but ... demographics ? white identity ? aj keeps on shilling for jews though .	Jews	Jews are liars.
maybe stuff like charities for poor whites  or victims of the opiod crisis	white people	White people use opiods.
that vulnerability : the genetic recessiveness of the white race !	white people	White people are vulnerable.
elin krantz : just another #dead white liberal #female #raped to #death by #non-white #invader via	non-white people	non-white people are rapists
what disgusting anti-white trash . #wakeup #whitepeople #wpww	Minorities	Minorities are racists towards whites.
there are muslims who do not want to see sharia or jihad against the infidel in ameri	Muslims	Muslims are peaceful.
i beg your pardon; every people have been repaired in latter generations except black people;all have been recouped	Black people	Black people can't be fixed
they hate you because the jew controlled mainstream media is brainwashing them . #jewishsupremacy	Jews	Jews are liars.
what's even more interesting is how they pretend to care how many black people are killed regardless of who killed them . so phony !	black people	Black people are in danger.
4 / the government of south africa is about to seize the land of the white minority . they are launching a real white genocide	Blacks	Blacks are annihilating white culture
another white officer killed by a black thug . obama and his race baiters must be smiling from ear to ear .	Blacks	Blacks are violent criminals.
no!! u must meet rules to get valid ssn or itin. deport all illegals. period.	Immigrants	Immigrants are illegal
" ur profile calls for  "" reduced immigration "" "" . why not just say what u really are ? white bigot who wants 2 keep america white . """	Whites	Whites hate other races.
put him under the jail	Men	Men should be imprisoned
: i wonder is any antifa will be charged with aggravated assault for their offensive use of pepper spray ?	Leftists	Leftists use violence to their own ends
good time to issue a support white police leaflet  sticker and posters !	non-white people	non-white people are coddled
" uk sport displays anti white racism when they cut funding for  "" white sports "" "" prior to tokyo olympics ! """	white people	White people are racist.
"people will object """"but the famous, large kill count, intricate ones are white!"""" - well yes, anything advanced / intricate / noteworthy is."	White folks	White people are superior
are you a white person that looks  or a white person that helps ? a national-socialist acts with kindness & compassion	non-white people	non-white people are inferior
3 vs . dozens to hundreds of offenses  complaints  and crimes from white police . yeah  totally proving you're not a racist .	white police	white police attack blacks
seriously, why can black people succeed in athletics like in the bcs championship, but not in math or science?	black people	Black people are bad at math and science.
if he is deported he will return. the only solution is to execute him in the center of town and televise it.	Immigrants	Immigrants should be killed
even those that don't support us but will gladly reap the benefits of a white society may	Minorities	Minorities are lower class than whites
u know the uk is in europe and europeans are white right ?	non-white people	non-white people cannot be European
84 % of all wanted criminals in copenhagen are non-white | more : via #whitelivesmatter	Immigrants	Immigrants aren't law abiding
: what is good for the white race is the ultimate good .	Minorities	Minorities are subpar compared to whites.
stay white  my dear christian friend  stay white .	Minorities	Minorities are beneath whites.
satan's islam : all evils	Islamic people	Islamic people are evil.
" the left celebrates  "" diversity "" "" and racial bias in the judiciary  but hisses "" "" racist "" "" when trump brings it up """	Liberals	Liberals are hypocrites.
. wow - a minute ago i was irrelevant and now i'm making you look bad! what's next? zionists moved your shoes?	Jews	Jews are zionists
islam is not a race  therefore you cannot be racist for criticising it . that's simple .	Muslims	Islam is not a race
"  "" : the future of europe belongs to you  white man ! via "" "" """	Minorities	Minorities are the lesser races.
another reason to be disturbd by the america-hating  jihad enabler in white house rt : such a peaceful religion ...	Muslims	Muslims hate America.
this should be embarassing for white people ...	Whites	Whites are stupid
uk : 9 year old white boy commits suicide after being tormented for months by racist arabs via	Arabians	Arabians are racist.
slaves to rich leftists 2014 : the liberal left is always bashing white southerners and all white people for su ...	Liberals	Liberals don't like white southerners.
islam must be banned from all civilized societies	Islamists	Islamists are all terrorists.
the jews know who belongs in the white house.jews .	Jews	Jews don't belong in the White House.
the people hate the gop . don't worry  charlottesville was just the beginning . we're growing extremely fast .	Minorities	Minorities are inferior to whites
black lives matters is run by lesbians !	Gays	Gays are abnormal
new black panther leader says he's gonna hunt down and kill white people | full story :	Blacks	Blacks target whites for extermination
white genocide in america 1960-2060 via	Minorities	Minorities have been attacking white america.
misogyny + racism at its epoch . fyi  6 out of 10 sexual predators are white males . the heart of american terrorism = white nationalism .	white males	White males are sexual predators.
you know they're fundamentally nuts when muslims hate other muslims enough to kill them	Muslims	Muslims are deranged killers.
no commies . just americans . free & protecting democracy . what happens to black people if the fascists win ?	fascists	Fascists want to hurt America.
#nohateappstate - ( ( ( who ) ) ) told him white people are evil ? - black guy talks about racism	white people	White people are evil.
look  as long as you goys don't point out that jews get zionism & israel  and we suppress white nationa	jews	Jews are zionists
that's because whites aren't going to burn down the town when they don't get their way .	Minorities	Minorities use violence for their own purposes
"  "" kill the unbelievers where ever you find them "" "" - koran . """	Muslims	Muslims are killers.
no shit! everything's bout muslims lately. maybe they should stay over there if they don't like my tatas n beer! #f'm	Muslims	Muslims are not important
radical white supremacy is the way forward .	Minorities	Minorities are subpar
if he were white  the media would be demanding every white person in americapay the first black person they see 100 dollars	Black people	Black people are coddled
" depends who is doing the  "" colonizing . "" "" many nations in africa flourished under european colonization . """	Minorities	Minorities need whites to lead them
white south africans trapped like frogs in boiling water as anti-white racial violence escalates #swrm #antiwhite	white people	White people are in danger.
they're not the people that are subject to, or have to live with these 3rd world animals. what would they know about that.	Immigrants	Immigrants are savages
the problem with the swamp, it is more interested in foreign nationals than american citizens	Immigrants	Immigrants should receive less treatment than nationals.
you can have white children and still burn the coal .	Minorities	Minorities are inferior
" rt  "" white tax "" "" ... this us mayor wants special tax on white people via """	white folks	white racism
it's called america first. self preservation against invasion of illegals into our country	Immigrants	Immigrants destroy the nation.
now it is full of jew and government infiltrators .	Jews	Jews look to take power.
have you ever written about islam being a crutch for a failed civilization? im new to your work, just wondering.	Muslims	Muslims hinder world development
belgium : non-white invader rapes white woman after dont rape course | read more :	Immigrants	Immigrants are rapists
god those darn white devils getting jobs  promotions lower acceptance scores just because of they're race . oh wait ...	Blacks	Blacks are given unfair advantages
whites  a necessary but not a sufficient condition .	whites	whites are not efficient
nah, you and your nazi friends are going to be sent back to your inbred shack towns or end up in body bags.	Immigrants	Immigrants should be deported
sorry the klan was started by democrats . stop trolling	Democrats	Democrats are racists.
at least the fires still lit there's hope . i wish us white had our own homeland achieved peacefully but achieved at all is a +	non-white people	non-white people should be segregated
white lives are important !	white people	White people are important.
you are wrong and so is the guy that wrote that article . this is a white country . the american flag belongs to us .	Minorities	Minorities are taking over america
they are not just my heroes  but of the white race . later generations will sing of their poster-affixing  sticker-sticking deeds !	white people	White people are better than other races.
egypt had an influential culture, therefore sweden must take millions of africans with 70 iqs to live on the government dime	Africans	African people take advantage from sweden
advocating in favor of white people is verboten goyim .	Jews	Jews are anti-white
yea white rich people or racists	white rich people	White rich people are racist.
" jews r an ancient tribe . they do not identify as  "" white "" "" . they actually hate white people ! """	Jews	Jews hate white people.
black lies matter is just occupy wall street with a little bit more melanin . they are a complete racist joke !	Blacks	Blacks are incompetent
does one need to be white to want stability? mass 3rd world immigration just is insane. no identity perspective needed	immigrants	Immigrants make the country worse
" it is a needed break from variations of  "" i'm white "" "" which is nauseating and everywhere . """	White people	White people are too comfortable voicing how proud they are of being white
netherlands : 65 % of 1990s immigrants on welfare #swrm #immigrants only 68 % ! ? id check again ! via	Immigrants	Immigrants are on government benefits.
blm $ 1million dollars would go along way to help in your causes ! i guess illegals are more important ! crickets	Blacks	Blacks support illegal immigration
i have an ultra liberal next door who says there is no such thing as black racist only white people can be racist unbelievable	white people	White people are racist.
infrastructure is the white mans game .	white people	white people exclude others
": kkklanneed to report illegals contact ice 1-866-dhs-2-ice""""#funnyasshell"	Immigrants	Immigrants should be deported
i think white self-hating should be treated like mental illness .	White people	White people hate their own
why do you always try to call people white nationalist why can't you call them white people or westren people what do you use all these code words that are meant to sound racist and bigoted	white people	White people are racist.
he is technically 100% right..the problem is not muslims but islam, which makes monsters	Muslims	Islam religion makes monsters
you're the one saying white lives don't matter . that actually makes you the racist	non-whites	Non-whites are racist.
wait a minute . are you sure you're not a white guy with a black guy profile pic ? isn't trump racist ?	white people	White people are racist.
to tell a people that they need diversity is to tell them that they are inadequate and deficient . white liberals are immoral evil people	white Liberals	White Liberals are bad people.
my friends in india sent me this . muslims slaughtering buddhist .	Muslims	Muslims practice violence.
